,id_puesto,puesto,departamento,tipo_puesto,turno,id_empleado,apellido,nombre,email
0,10-23200,Ingeniero de Materiales,MATERIALES,Operativo,,725,Villa,Eliana ,eliana .villa@tractchun.com
1,10-23200,Ingeniero de Materiales,MATERIALES,Operativo,,747,CHAVEZ,FEDERICO,federico.chavez@tractchun.com
2,10-23200,Ingeniero de Materiales,MATERIALES,Operativo,,544,FIGUEROA,ANGEL,angel.figueroa@tractchun.com
3,10-24111,Operador de Producción,MATERIALES,Operativo,,1376,Piedrahita,Gonzalo,gonzalo.piedrahita@tractchun.com
4,10-24111,Operador de Producción,MATERIALES,Operativo,,44,González,Gonzalo,gonzalo.gonzález@tractchun.com
5,10-24111,Operador de Producción,MATERIALES,Operativo,,1473,Villa,Gonzalo,gonzalo.villa@tractchun.com
6,10-25120,Auxiliar de compras,MATERIALES,Administrativo,,642,Puerta,Alexander,alexander.puerta@tractchun.com
7,10-25120,Auxiliar de compras,MATERIALES,Administrativo,,809,GONZALEZ,MARTIN,martin.gonzalez@tractchun.com
8,10-25120,Auxiliar de compras,MATERIALES,Administrativo,,724,Rojas,Arley,arley.rojas@tractchun.com
9,10-25120,Auxiliar de compras,MATERIALES,Administrativo,,822,SIQUEIROS,QUIROZ,quiroz.siqueiros@tractchun.com
10,10-25120,Auxiliar de compras,MATERIALES,Administrativo,,753,GONZALEZ,GUILLERMO,guillermo.gonzalez@tractchun.com
11,10-25130,Comprador,MATERIALES,Administrativo,,1344,BRICKNER,ALBERTO,alberto.brickner@tractchun.com
12,10-25130,Comprador,MATERIALES,Administrativo,,1738,MORALES,MARIA,maria.morales@tractchun.com
13,10-25130,Comprador,MATERIALES,Administrativo,,1331,NAVARRO,ALBA,alba.navarro@tractchun.com
14,10-25130,Comprador,MATERIALES,Administrativo,,1379,BURBOA,ALBERTO,alberto.burboa@tractchun.com
15,10-25130,Comprador,MATERIALES,Administrativo,,1703,Lopera ,Maria,maria.lopera @tractchun.com
16,10-25130,Comprador,MATERIALES,Administrativo,,1574,AGRUEL,LINA,lina.agruel@tractchun.com
17,10-25130,Comprador,MATERIALES,Administrativo,,1419,MANRIQUEZ,GUADALUPE,guadalupe.manriquez@tractchun.com
18,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,856,OCAÑO,CARLOS,carlos.ocaño@tractchun.com
19,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,891,GONZALES,DARIO,dario.gonzales@tractchun.com
20,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,916,BALDENEGRO,EUGENIA,eugenia.baldenegro@tractchun.com
21,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,927,VAZQUEZ,ANGEL,angel.vazquez@tractchun.com
22,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,929,Restrepo ,Hernan,hernan.restrepo @tractchun.com
23,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1050,ROMERO,JAVIER,javier.romero@tractchun.com
24,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1071,SOTO,JESUS,jesus.soto@tractchun.com
25,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1272,ESCALANTE,MARTIN,martin.escalante@tractchun.com
26,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1502,RENDON,CAROLINA,carolina.rendon@tractchun.com
27,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1665,DANIEL,ALBERTO,alberto.daniel@tractchun.com
28,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1778,LEON,IVAN,ivan.leon@tractchun.com
29,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1784,CONTRERAS,CARLOS,carlos.contreras@tractchun.com
30,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1871,GARCIA,EDITH,edith.garcia@tractchun.com
31,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1909,HEREDIA,EDUARDO,eduardo.heredia@tractchun.com
32,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1919,MORA,ELOINA,eloina.mora@tractchun.com
33,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,299,MONTIEL,EDUVIGES,eduviges.montiel@tractchun.com
34,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,677,Monsalve,Eugenia,eugenia.monsalve@tractchun.com
35,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,695,SUGICH,ALEJANDRO,alejandro.sugich@tractchun.com
36,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,696,FABELA,ANTONIO,antonio.fabela@tractchun.com
37,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,788,LOPEZ,ARACELI,araceli.lopez@tractchun.com
38,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,844,RAMIREZ,ATONDO,atondo.ramirez@tractchun.com
